% Model,薄膜计算.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 21 2026, 10:01"
% Table,表格 1 - 反射率、透射率和吸收率 (ewfd)
% lambda0 (m),freq (THz),反射率，端口 1 (1),总反射率 (1),theta (rad),n1_A,n1_B,n1_C,n2_A,n2_B,n2_C
4.500000000000000E-7,6.662054622222222E2,2.408797370024343E-1∠0.000000000000000E0°,2.408797370024343E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.550000000000000E-7,6.588845230769230E2,2.408056845985059E-1∠0.000000000000000E0°,2.408056845985059E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.600000000000000E-7,6.517227347826087E2,2.407680010559025E-1∠0.000000000000000E0°,2.407680010559025E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.650000000000000E-7,6.447149634408600E2,2.407216220862903E-1∠0.000000000000000E0°,2.407216220862903E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.700000000000000E-7,6.378562936170213E2,2.405771765953762E-1∠0.000000000000000E0°,2.405771765953762E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.750000000000000E-7,6.311420168421052E2,2.405211645360901E-1∠0.000000000000000E0°,2.405211645360901E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.800000000000000E-7,6.245676208333332E2,2.405433949762215E-1∠0.000000000000000E0°,2.405433949762215E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.850000000000000E-7,6.181287793814432E2,2.405109123490257E-1∠0.000000000000000E0°,2.405109123490257E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.900000000000000E-7,6.118213428571429E2,2.404658816036093E-1∠0.000000000000000E0°,2.404658816036093E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.950000000000000E-7,6.056413292929291E2,2.403481667379908E-1∠0.000000000000000E0°,2.403481667379908E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
